data,cotacao_venda,cotacao_compra,cotacao_media
2023-07-03,4.7876,4.787,4.7873
2023-07-04,4.8056,4.805,4.8053
2023-07-05,4.8577,4.8571,4.8574
2023-07-06,4.8977,4.8971,4.8974
2023-07-07,4.8799,4.8793,4.8796
2023-07-10,4.8735,4.8729,4.8732
2023-07-11,4.8949,4.8943,4.8946000000000005
2023-07-12,4.8058,4.8052,4.8055
2023-07-13,4.8038,4.8032,4.8035
2023-07-14,4.7957,4.7951,4.7954
2023-07-17,4.8302,4.8296,4.8299
2023-07-18,4.804,4.8034,4.8037
2023-07-19,4.8,4.7994,4.7997
2023-07-20,4.7888,4.7882,4.7885
2023-07-21,4.7732,4.7726,4.7729
2023-07-24,4.7457,4.7451,4.7454
2023-07-25,4.7496,4.749,4.7493
2023-07-26,4.7368,4.7362,4.7364999999999995
2023-07-27,4.7202,4.7196,4.7199
2023-07-28,4.7253,4.7247,4.725
2023-07-31,4.7415,4.7409,4.7412
2023-08-01,4.7752,4.7746,4.774900000000001
2023-08-02,4.8083,4.8077,4.808
2023-08-03,4.8797,4.8791,4.8794
2023-08-04,4.8609,4.8603,4.8606
2023-08-07,4.901,4.9004,4.9007000000000005
2023-08-08,4.9217,4.9211,4.9214
2023-08-09,4.9015,4.9009,4.9012
2023-08-10,4.8518,4.8512,4.8515
2023-08-11,4.8918,4.8912,4.891500000000001
2023-08-14,4.9481,4.9475,4.9478
2023-08-15,4.9812,4.9806,4.9809
2023-08-16,4.9772,4.9765,4.97685
2023-08-17,4.9816,4.981,4.9813
2023-08-18,4.9724,4.9718,4.9721
2023-08-21,4.9847,4.9841,4.9844
2023-08-22,4.9431,4.9425,4.9428
2023-08-23,4.8977,4.8971,4.8974
2023-08-24,4.8748,4.8742,4.874499999999999
2023-08-25,4.8772,4.8766,4.8769
2023-08-28,4.8938,4.8933,4.893549999999999
2023-08-29,4.8706,4.87,4.8703
2023-08-30,4.8653,4.8647,4.865
2023-08-31,4.9219,4.9213,4.9216
2023-09-01,4.9318,4.9312,4.9315
2023-09-04,4.9176,4.917,4.9173
2023-09-05,4.9705,4.9699,4.9702
2023-09-06,4.9762,4.9756,4.9759
2023-09-08,4.9835,4.9829,4.9832
2023-09-11,4.9366,4.936,4.9363
2023-09-12,4.9505,4.9499,4.950200000000001
2023-09-13,4.9171,4.9165,4.9168
2023-09-14,4.8751,4.8745,4.8748000000000005
2023-09-15,4.8689,4.8683,4.8686
2023-09-18,4.8535,4.8529,4.8532
2023-09-19,4.8575,4.8569,4.857200000000001
2023-09-20,4.8487,4.8481,4.8484
2023-09-21,4.9229,4.9223,4.9226
2023-09-22,4.9131,4.9125,4.9128
2023-09-25,4.9606,4.96,4.9603
2023-09-26,4.9717,4.9711,4.9714
2023-09-27,5.0289,5.0283,5.0286
2023-09-28,5.0475,5.0469,5.0472
2023-09-29,5.0076,5.007,5.0073
2023-10-02,5.0679,5.0673,5.0676000000000005
2023-10-03,5.11,5.1094,5.1097
2023-10-04,5.1526,5.152,5.1523
2023-10-05,5.1713,5.1707,5.170999999999999
2023-10-06,5.1918,5.1912,5.1915
2023-10-09,5.1666,5.166,5.1663
2023-10-10,5.0862,5.0856,5.0859000000000005
2023-10-11,5.0496,5.049,5.049300000000001
2023-10-13,5.0625,5.0619,5.0622
2023-10-16,5.0618,5.0612,5.0615000000000006
2023-10-17,5.0384,5.0378,5.0381
