"Ano do nascimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2023";23921;14473;70453;13105;126152;12948;23145;97205;42144;111091;39440;51531;116175;46543;29005;170314;233918;52187;176145;503910;139836;96802;120974;40233;58553;91822;35551;2537576
"Total";23921;14473;70453;13105;126152;12948;23145;97205;42144;111091;39440;51531;116175;46543;29005;170314;233918;52187;176145;503910;139836;96802;120974;40233;58553;91822;35551;2537576

